iter	Passed	Remaining
572	6970	2761
573	6982	2749
574	6993	2736
575	7004	2723
576	7016	2711
577	7027	2699
578	7038	2686
579	7050	2674
580	7062	2662
581	7074	2649
582	7086	2637
583	7098	2625
584	7109	2612
585	7121	2600
586	7132	2588
587	7145	2576
588	7156	2563
589	7169	2551
590	7181	2539
591	7192	2527
592	7203	2514
593	7215	2502
594	7226	2489
595	7238	2477
596	7250	2465
597	7262	2453
598	7279	2442
599	7296	2432
600	7313	2421
601	7325	2409
602	7337	2397
603	7353	2386
604	7368	2374
605	7383	2363
606	7398	2352
607	7410	2340
608	7426	2329
609	7437	2316
610	7452	2305
611	7464	2293
612	7480	2282
613	7494	2270
614	7506	2258
615	7519	2246
616	7532	2234
617	7547	2222
618	7559	2210
619	7574	2199
620	7594	2188
621	7608	2177
622	7628	2167
623	7641	2155
624	7657	2144
625	7673	2132
626	7685	2120
627	7700	2108
628	7713	2097
629	7727	2085
630	7740	2073
631	7752	2060
632	7768	2049
633	7780	2037
634	7792	2024
635	7808	2013
636	7824	2002
637	7836	1989
638	7849	1977
639	7862	1965
640	7874	1953
641	7886	1940
642	7900	1929
643	7914	1917
644	7928	1905
645	7940	1892
646	7952	1880
647	7966	1868
648	7981	1856
649	7994	1844
650	8006	1832
651	8019	1820
652	8031	1808
653	8045	1796
654	8057	1783
655	8068	1771
656	8084	1759
657	8097	1747
658	8111	1735
659	8124	1723
660	8139	1711
661	8151	1699
662	8165	1687
663	8179	1675
664	8192	1663
665	8208	1651
666	8219	1638
667	8231	1626
668	8241	1613
669	8253	1601
670	8264	1588
671	8275	1576
672	8289	1564
673	8301	1551
674	8315	1539
675	8326	1527
676	8339	1515
677	8351	1502
678	8362	1490
679	8373	1477
680	8386	1465
681	8398	1453
682	8410	1440
683	8421	1428
684	8432	1415
685	8446	1403
686	8458	1391
687	8472	1379
688	8486	1367
689	8499	1355
690	8511	1342
691	8524	1330
692	8535	1317
693	8547	1305
694	8558	1292
695	8570	1280
696	8580	1268
697	8592	1255
698	8603	1243
699	8614	1230
700	8626	1218
701	8638	1205
702	8650	1193
703	8662	1181
704	8673	1168
705	8684	1156
706	8695	1143
707	8709	1131
708	8721	1119
709	8733	1107
710	8744	1094
711	8756	1082
712	8766	1069
713	8778	1057
714	8788	1044
715	8800	1032
716	8812	1020
717	8824	1007
718	8835	995
719	8847	983
720	8858	970
721	8869	958
722	8881	945
723	8893	933
724	8904	921
725	8916	908
726	8928	896
727	8940	884
728	8951	871
729	8964	859
730	8975	847
731	8987	834
732	9002	822
733	9016	810
734	9031	798
735	9042	786
736	9057	774
737	9069	761
738	9081	749
739	9094	737
740	9109	725
741	9121	713
742	9133	700
743	9146	688
744	9156	676
745	9168	663
746	9180	651
747	9190	638
748	9202	626
749	9214	614
750	9226	601
751	9237	589
752	9249	577
753	9261	565
754	9272	552
755	9283	540
756	9295	528
757	9309	515
758	9320	503
759	9331	491
760	9342	478
761	9353	466
762	9365	454
